"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,    9370,,    4260,,    5110,, 4809940,, 2243200,, 2566740,
"Low income in 2015","  0 to 17 years",,    1785,,     920,,     865,, 1163830,,  597570,,  566255,
"Low income in 2015","    0 to 5 years",,     540,,     270,,     270,,  396095,,  203055,,  193030,
"Low income in 2015","  18 to 64 years",,    5485,,    2590,,    2895,, 2855290,, 1341590,, 1513700,
"Low income in 2015","  65 years and over",,    2095,,     745,,    1355,,  790825,,  304040,,  486780,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     23.2,,     22.7,,     23.7,,     14.2,,     13.4,,     14.9,
"Low income in 2015","  0 to 17 years (%)",,     26.8,,     26.6,,     27.1,,     17.0,,     17.1,,     17.0,
"Low income in 2015","    0 to 5 years (%)",,     24.4,,     23.4,,     25.6,,     17.8,,     17.8,,     17.8,
"Low income in 2015","  18 to 64 years (%)",,     21.1,,     21.2,,     20.9,,     13.2,,     12.5,,     13.8,
"Low income in 2015","  65 years and over (%)",,     27.4,,     23.7,,     30.1,,     14.5,,     12.0,,     16.7,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,    7920,,    3605,,    4315,, 3128995,, 1519370,, 1609630,
"Low income in 2015","  0 to 17 years",,    1455,,     770,,     680,,  696025,,  357255,,  338770,
"Low income in 2015","    0 to 5 years",,     445,,     235,,     215,,  236435,,  121170,,  115260,
"Low income in 2015","  18 to 64 years",,    5035,,    2390,,    2645,, 2157745,, 1057585,, 1100160,
"Low income in 2015","  65 years and over",,    1435,,     450,,     985,,  275225,,  104525,,  170695,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     19.6,,     19.2,,     20.0,,      9.2,,      9.1,,      9.3,
"Low income in 2015","  0 to 17 years (%)",,     21.9,,     22.3,,     21.3,,     10.2,,     10.2,,     10.2,
"Low income in 2015","    0 to 5 years (%)",,     20.1,,     20.3,,     20.4,,     10.6,,     10.6,,     10.6,
"Low income in 2015","  18 to 64 years (%)",,     19.3,,     19.6,,     19.1,,      9.9,,      9.9,,     10.0,
"Low income in 2015","  65 years and over (%)",,     18.8,,     14.3,,     21.9,,      5.1,,      4.1,,      5.9,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,   40655,,   19095,,   21560,,34460065,,16971575,,17488485,
"Knowledge of languages","  Official languages",,   38425,,   18145,,   20275,,33818210,,16709290,,17108920,
"Knowledge of languages","    English",,   38380,,   18140,,   20240,,29748265,,14806270,,14941995,
"Knowledge of languages","    French",,    2685,,    1150,,    1535,,10242945,, 4952455,, 5290495,
"Knowledge of languages","  Non-official languages",,   30100,,   13690,,   16410,, 9369280,, 4488185,, 4881090,
"Knowledge of languages","    Aboriginal languages",,       0,,       0,,       0,,  263845,,  127550,,  136295,
"Knowledge of languages","      Algonquian languages",,       0,,       0,,       0,,  177570,,   85505,,   92065,
"Knowledge of languages","        Blackfoot",,       0,,       0,,       0,,    5645,,    2695,,    2950,
"Knowledge of languages","        Cree-Montagnais languages",,       0,,       0,,       0,,  116585,,   56515,,   60070,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,    6640,,    3335,,    3305,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,   11440,,    5500,,    5945,
"Knowledge of languages","          Moose Cree",,       0,,       0,,       0,,     195,,      80,,     115,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,    1465,,     710,,     755,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,     545,,     225,,     320,
"Knowledge of languages","          Plains Cree",,       0,,       0,,       0,,    5905,,    2705,,    3200,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,      40,,      30,,      10,
"Knowledge of languages","          Swampy Cree",,       0,,       0,,       0,,    2345,,     995,,    1350,
"Knowledge of languages","          Woods Cree",,       0,,       0,,       0,,    2665,,    1230,,    1435,
"Knowledge of languages","          Cree; n.o.s.",,       0,,       0,,       0,,   86115,,   42080,,   44035,
"Knowledge of languages","        Eastern Algonquian languages",,       0,,       0,,       0,,    9765,,    4710,,    5050,
"Knowledge of languages","          Malecite",,       0,,       0,,       0,,     755,,     370,,     390,
"Knowledge of languages","          Mi'kmaq",,       0,,       0,,       0,,    9025,,    4350,,    4670,
"Knowledge of languages","        Ojibway-Potawatomi languages",,       0,,       0,,       0,,   46685,,   22100,,   24585,
"Knowledge of languages","          Algonquin",,       0,,       0,,       0,,    2480,,    1165,,    1315,
"Knowledge of languages","          Ojibway",,       0,,       0,,       0,,   28585,,   13365,,   15220,
"Knowledge of languages","          Oji-Cree",,       0,,       0,,       0,,   15610,,    7575,,    8030,
"Knowledge of languages","          Ottawa (Odawa)",,       0,,       0,,       0,,     205,,     105,,     105,
"Knowledge of languages","        Algonquian languages; n.i.e.",,       0,,       0,,       0,,     120,,      60,,      60,
"Knowledge of languages","      Athabaskan languages",,       0,,       0,,       0,,   23655,,   11340,,   12320,
"Knowledge of languages","        Northern Athabaskan languages",,       0,,       0,,       0,,   23570,,   11300,,   12265,
"Knowledge of languages","          Babine (Wetsuwet'en)",,       0,,       0,,       0,,     210,,     105,,     100,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,     340,,     180,,     165,
"Knowledge of languages","          Carrier",,       0,,       0,,       0,,    2105,,     955,,    1145,
"Knowledge of languages","          Chilcotin",,       0,,       0,,       0,,    1150,,     535,,     610,
"Knowledge of languages","          Dene",,       0,,       0,,       0,,   13060,,    6270,,    6790,
"Knowledge of languages","          Dogrib (Tlicho)",,       0,,       0,,       0,,    2375,,    1210,,    1165,
"Knowledge of languages","          Gwich'in",,       0,,       0,,       0,,     360,,     165,,     200,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,     150,,      60,,      90,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,     185,,      85,,     100,
"Knowledge of languages","          Slavey-Hare languages",,       0,,       0,,       0,,    2815,,    1340,,    1475,
"Knowledge of languages","            North Slavey (Hare)",,       0,,       0,,       0,,    1010,,     475,,     530,
"Knowledge of languages","            South Slavey",,       0,,       0,,       0,,    1365,,     660,,     710,
"Knowledge of languages","            Slavey; n.o.s.",,       0,,       0,,       0,,     680,,     320,,     360,
"Knowledge of languages","          Tahltan languages",,       0,,       0,,       0,,     630,,     340,,     285,
"Knowledge of languages","            Kaska (Nahani)",,       0,,       0,,       0,,     365,,     205,,     170,
"Knowledge of languages","            Tahltan",,       0,,       0,,       0,,     270,,     140,,     130,
"Knowledge of languages","          Tutchone languages",,       0,,       0,,       0,,     420,,     160,,     260,
"Knowledge of languages","            Northern Tutchone",,       0,,       0,,       0,,     285,,     115,,     170,
"Knowledge of languages","            Southern Tutchone",,       0,,       0,,       0,,     145,,      50,,      95,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      85,,      35,,      50,
"Knowledge of languages","      Haida",,       0,,       0,,       0,,     465,,     205,,     260,
"Knowledge of languages","      Inuit languages",,       0,,       0,,       0,,   42980,,   21355,,   21630,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,    1975,,     895,,    1080,
"Knowledge of languages","        Inuktitut",,       0,,       0,,       0,,   40620,,   20280,,   20340,
"Knowledge of languages","        Inuit languages; n.i.e.",,       0,,       0,,       0,,     470,,     225,,     240,
"Knowledge of languages","      Iroquoian languages",,       0,,       0,,       0,,    2800,,    1240,,    1555,
"Knowledge of languages","        Cayuga",,       0,,       0,,       0,,     125,,      40,,      85,
"Knowledge of languages","        Mohawk",,       0,,       0,,       0,,    2415,,    1120,,    1295,
"Knowledge of languages","        Oneida",,       0,,       0,,       0,,     180,,      60,,     125,
"Knowledge of languages","        Iroquoian languages; n.i.e.",,       0,,       0,,       0,,     115,,      45,,      75,
"Knowledge of languages","      Kutenai",,       0,,       0,,       0,,     175,,      95,,      80,
"Knowledge of languages","      Michif",,       0,,       0,,       0,,    1210,,     585,,     625,
"Knowledge of languages","      Salish languages",,       0,,       0,,       0,,    5750,,    2730,,    3015,
"Knowledge of languages","        Comox",,       0,,       0,,       0,,     185,,      75,,     110,
"Knowledge of languages","        Halkomelem",,       0,,       0,,       0,,    1060,,     475,,     585,
"Knowledge of languages","        Lillooet",,       0,,       0,,       0,,     790,,     405,,     385,
"Knowledge of languages","        Okanagan",,       0,,       0,,       0,,     820,,     370,,     450,
"Knowledge of languages","        Shuswap (Secwepemctsin)",,       0,,       0,,       0,,    1305,,     640,,     665,
"Knowledge of languages","        Squamish",,       0,,       0,,       0,,     285,,     125,,     155,
"Knowledge of languages","        Straits",,       0,,       0,,       0,,     360,,     160,,     200,
"Knowledge of languages","        Thompson (Ntlakapamux)",,       0,,       0,,       0,,     450,,     220,,     235,
"Knowledge of languages","        Salish languages; n.i.e.",,       0,,       0,,       0,,     565,,     295,,     270,
"Knowledge of languages","      Siouan languages",,       0,,       0,,       0,,    5430,,    2665,,    2770,
"Knowledge of languages","        Dakota",,       0,,       0,,       0,,    1760,,     870,,     890,
